iter	Passed	Remaining
516	7558	7061
517	7573	7046
518	7587	7032
519	7601	7016
520	7615	7001
521	7630	6987
522	7646	6973
523	7660	6958
524	7673	6942
525	7686	6926
526	7698	6909
527	7710	6892
528	7722	6876
529	7736	6860
530	7751	6846
531	7765	6831
532	7778	6815
533	7795	6803
534	7811	6789
535	7825	6774
536	7837	6757
537	7849	6740
538	7862	6724
539	7874	6708
540	7887	6691
541	7898	6674
542	7913	6660
543	7927	6645
544	7940	6629
545	7953	6613
546	7968	6598
547	7982	6584
548	7997	6569
549	8009	6553
550	8021	6536
551	8033	6520
552	8046	6503
553	8058	6487
554	8069	6470
555	8083	6455
556	8098	6441
557	8112	6425
558	8124	6409
559	8138	6394
560	8151	6378
561	8169	6367
562	8182	6351
563	8194	6334
564	8206	6318
565	8218	6302
566	8231	6286
567	8243	6269
568	8257	6254
569	8271	6239
570	8284	6223
571	8297	6208
572	8311	6193
573	8325	6178
574	8341	6165
575	8356	6151
576	8369	6135
577	8382	6120
578	8395	6104
579	8407	6088
580	8420	6072
581	8434	6058
582	8449	6043
583	8464	6029
584	8477	6014
585	8493	6000
586	8509	5987
587	8525	5973
588	8538	5957
589	8551	5942
590	8563	5926
591	8576	5910
592	8588	5894
593	8601	5878
594	8617	5865
595	8633	5851
596	8646	5836
597	8662	5823
598	8677	5808
599	8693	5795
600	8707	5780
601	8719	5764
602	8731	5748
603	8744	5732
604	8756	5717
605	8768	5701
606	8783	5686
607	8796	5671
608	8811	5657
609	8828	5644
610	8842	5629
611	8857	5615
612	8870	5600
613	8883	5584
614	8895	5568
615	8907	5552
616	8919	5537
617	8933	5521
618	8945	5506
619	8961	5492
620	8975	5477
621	8990	5463
622	9004	5449
623	9018	5434
624	9034	5420
625	9046	5405
626	9058	5388
627	9070	5373
628	9082	5357
629	9095	5341
630	9108	5326
631	9120	5310
632	9135	5296
633	9149	5281
634	9162	5266
635	9175	5251
636	9189	5236
637	9204	5222
638	9220	5208
639	9232	5193
640	9245	5178
641	9257	5162
642	9269	5146
643	9280	5130
644	9293	5115
645	9309	5101
646	9324	5087
647	9337	5072
648	9352	5058
649	9366	5043
650	9380	5028
651	9395	5014
652	9408	4999
653	9421	4984
654	9434	4969
655	9448	4954
656	9460	4939
657	9475	4924
658	9489	4910
659	9502	4895
660	9516	4880
661	9530	4865
662	9545	4851
663	9565	4840
664	9579	4825
665	9594	4811
666	9607	4796
667	9619	4781
668	9632	4765
669	9647	4751
670	9661	4737
671	9674	4722
672	9691	4708
673	9704	4694
674	9718	4679
675	9732	4664
676	9747	4650
677	9761	4635
678	9780	4623
679	9792	4608
680	9805	4592
681	9819	4578
682	9834	4564
683	9847	4549
684	9861	4534
685	9874	4519
686	9887	4504
687	9904	4491
688	9918	4477
689	9931	4461
690	9943	4446
691	9956	4431
692	9968	4415
693	9980	4400
694	9993	4385
695	10008	4371
696	10022	4356
697	10037	4343
698	10052	4328
699	10067	4314
700	10081	4300
701	10096	4285
702	10115	4273
703	10130	4259
704	10143	4244
705	10156	4229
706	10172	4215
707	10189	4202
708	10203	4187
709	10216	4172
710	10229	4158
711	10246	4144
712	10259	4129
713	10271	4114
714	10283	4099
715	10296	4084
716	10308	4068
717	10320	4053
718	10332	4038
719	10348	4024
720	10361	4009
721	10374	3994
722	10388	3979
723	10401	3965
724	10416	3951
725	10429	3936
726	10442	3921
727	10455	3906
728	10468	3891
729	10481	3876
730	10493	3861
731	10505	3846
732	10520	3832
733	10535	3817
734	10547	3803
735	10561	3788
736	10575	3773
737	10589	3759
738	10603	3745
739	10616	3730
740	10628	3715
741	10641	3699
742	10652	3684
743	10664	3669
744	10676	3654
745	10692	3640
746	10707	3626
747	10721	3612
748	10736	3597
749	10752	3584
750	10766	3569
751	10780	3555
752	10793	3540
753	10806	3525
754	10818	3510
755	10830	3495
756	10844	3480
757	10855	3465
758	10869	3451
759	10884	3437
760	10898	3422
761	10912	3408
762	10926	3393
763	10940	3379
764	10954	3365
765	10968	3350
766	10981	3335
767	10993	3320
768	11005	3305
769	11017	3290
770	11029	3276
771	11042	3261
772	11059	3247
773	11075	3233
774	11089	3219
775	11102	3204
776	11116	3190
777	11131	3176
778	11146	3162
779	11159	3147
780	11171	3132
781	11184	3117
782	11197	3103
783	11209	3088
784	11223	3073
785	11237	3059
786	11251	3045
787	11263	3030
788	11277	3015
789	11292	3001
790	11306	2987
791	11320	2973
792	11330	2957
793	11342	2942
794	11351	2927
795	11364	2912
796	11376	2897
797	11389	2883
798	11405	2869
799	11419	2854
800	11432	2840
801	11446	2825
802	11463	2812
803	11478	2798
804	11494	2784
805	11507	2769
806	11516	2754
807	11527	2739
808	11539	2724
809	11552	2709
810	11567	2695
811	11581	2681
812	11595	2667
813	11609	2652
814	11623	2638
815	11636	2623
816	11652	2609
817	11664	2595
818	11678	2580
819	11690	2566
820	11702	2551
821	11715	2536
822	11728	2522
823	11741	2507
824	11757	2493
825	11771	2479
826	11784	2465
827	11798	2450
828	11815	2437
829	11832	2423
830	11846	2409
831	11859	2394
832	11871	2379
833	11888	2366
834	11901	2351
835	11917	2337
836	11933	2323
837	11942	2308
838	11956	2294
839	11970	2280
840	11984	2265
841	12000	2251
842	12012	2237
843	12024	2222
844	12036	2207
845	12048	2193
846	12060	2178
847	12073	2164
848	12085	2149
849	12100	2135
850	12114	2121
851	12128	2106
852	12141	2092
853	12154	2077
854	12169	2063
855	12185	2049
856	12198	2035
857	12211	2020
858	12222	2006
859	12235	1991
860	12248	1977
861	12264	1963
862	12279	1949
863	12293	1935
864	12306	1920
865	12324	1906
866	12340	1893
867	12356	1879
868	12370	1864
869	12383	1850
870	12396	1835
871	12408	1821
872	12422	1807
873	12435	1792
874	12450	1778
875	12465	1764
876	12479	1750
877	12495	1736
878	12509	1722
879	12524	1707
880	12537	1693
881	12550	1679
882	12562	1664
883	12574	1650
884	12587	1635
885	12600	1621
886	12612	1606
887	12626	1592
888	12640	1578
889	12654	1564
890	12667	1549
891	12681	1535
892	12695	1521
893	12710	1507
894	12724	1492
895	12736	1478
896	12748	1463
897	12760	1449
898	12772	1434
899	12785	1420
900	12800	1406
901	12813	1392
902	12827	1377
903	12841	1363
904	12853	1349
905	12867	1335
906	12881	1320
907	12895	1306
908	12908	1292
909	12920	1277
910	12932	1263
911	12944	1249
912	12957	1234
913	12971	1220
914	12986	1206
915	13001	1192
916	13015	1178
917	13030	1163
918	13045	1149
919	13063	1135
920	13078	1121
921	13093	1107
922	13107	1093
923	13121	1079
924	13134	1064
925	13149	1050
926	13167	1036
927	13182	1022
928	13197	1008
929	13213	994
930	13227	980
931	13243	966
932	13259	952
933	13274	938
934	13287	923
935	13301	909
936	13315	895
937	13330	881
938	13345	866
939	13358	852
940	13372	838
941	13387	824
942	13402	810
943	13417	795
944	13429	781
945	13442	767
946	13454	753
947	13468	738
948	13481	724
949	13496	710
950	13512	696
951	13526	682
952	13539	667
953	13555	653
954	13570	639
955	13583	625
956	13595	610
957	13608	596
958	13620	582
959	13633	568
960	13645	553
961	13658	539
962	13672	525
963	13686	511
964	13699	496
965	13713	482
966	13729	468
967	13743	454
968	13756	440
969	13769	425
970	13780	411
971	13792	397
972	13805	383
973	13817	368
974	13829	354
975	13844	340
976	13858	326
977	13871	312
978	13885	297
979	13901	283
980	13915	269
981	13928	255
982	13940	241
983	13952	226
984	13964	212
985	13976	198
986	13988	184
987	13999	170
988	14014	155
989	14027	141
990	14039	127
991	14051	113
992	14064	99
993	14078	84
994	14098	70
995	14115	56
996	14128	42
997	14141	28
998	14153	14
999	14167	0
