iter	RMSE
360	0.2065455911
361	0.2065174868
362	0.2065036918
363	0.2064722388
364	0.2064473699
365	0.2064153313
366	0.2063916168
367	0.2063652049
368	0.2063355129
369	0.2063141235
370	0.2062784594
371	0.2062430576
372	0.2062153143
373	0.2061877769
374	0.2061370026
375	0.2061138116
376	0.2060796005
377	0.2060656747
378	0.2060502326
379	0.2060280526
380	0.2060071435
381	0.2059880885
382	0.2059704156
383	0.2059513985
384	0.2059279579
385	0.205914907
386	0.2058977071
387	0.2058571396
388	0.2058102871
389	0.2057786912
390	0.2057690491
391	0.2057243196
392	0.2057097092
393	0.2056969418
394	0.205658758
395	0.2056262357
396	0.2056001589
397	0.2055846861
398	0.2055414913
399	0.2055048663
400	0.2054768501
401	0.2054420114
402	0.2053945681
403	0.2053763354
404	0.2053602505
405	0.2053351773
406	0.2053070197
407	0.205290725
408	0.2052744585
409	0.2052285461
410	0.2052001016
411	0.2051817779
412	0.2051632035
413	0.2051348105
414	0.2051065944
415	0.20508245
416	0.2050723498
417	0.2050285968
418	0.2049913212
419	0.2049672175
420	0.2049480499
421	0.2049190361
422	0.2048823985
423	0.204850744
424	0.2048130826
425	0.2047894034
426	0.2047681492
427	0.2047278126
428	0.204697594
429	0.2046807382
430	0.2046609572
431	0.2046319244
432	0.2046002695
433	0.2045730983
434	0.2045278277
435	0.2044986287
436	0.2044646711
437	0.2044376068
438	0.2044164018
439	0.20439422
440	0.2043642088
441	0.204349367
442	0.2043245384
443	0.2042988718
444	0.2042792203
445	0.2042362812
446	0.2042066399
447	0.2041950987
448	0.2041627161
449	0.2041316781
450	0.2041144462
451	0.2040906536
452	0.2040672632
453	0.2040587481
454	0.2040357052
455	0.2040223179
456	0.2039874743
457	0.2039745015
458	0.2039419444
459	0.2039166742
460	0.2039031399
461	0.2038869226
462	0.2038486617
463	0.2038284755
464	0.2038098319
465	0.2037917411
466	0.2037672986
467	0.2037461707
468	0.2037113365
469	0.2036976158
470	0.2036685339
471	0.2036406243
472	0.2036153929
473	0.2035912872
474	0.203559282
475	0.2035317134
476	0.2034953717
477	0.2034651381
478	0.2034381782
479	0.2034137169
480	0.2033970259
481	0.2033718812
482	0.2033470293
483	0.2033182613
484	0.2032887156
485	0.203268016
486	0.2032347141
487	0.2032107934
488	0.2032018921
489	0.2031802873
490	0.2031465694
491	0.2031211229
492	0.2030999218
493	0.2030530144
494	0.202989978
495	0.2029668351
496	0.2029467152
497	0.202897879
498	0.2028820344
499	0.2028626026
500	0.2028499681
501	0.2028363917
502	0.2028145765
503	0.2027810503
504	0.2027516583
505	0.2027219537
506	0.2026978303
507	0.2026560754
508	0.2026255143
509	0.2025878036
510	0.2025671103
511	0.2025361053
512	0.2025020417
513	0.2024764166
514	0.2024552954
515	0.202430669
516	0.2024048742
517	0.2023792843
518	0.2023290534
519	0.2023175578
520	0.2023001793
521	0.2022853159
522	0.2022378684
523	0.2022083679
524	0.2021907094
525	0.2021696147
526	0.2021372563
527	0.2021116716
528	0.2020867381
529	0.2020635432
530	0.2020443409
531	0.2020210406
532	0.2020014832
533	0.2019902221
534	0.2019596173
535	0.2019197126
536	0.2018781976
537	0.2018525069
538	0.2018338263
539	0.2017938435
540	0.2017620412
541	0.2017488074
542	0.2017158353
543	0.2016972695
544	0.2016702806
545	0.2016580907
546	0.2016280137
547	0.2015851444
548	0.2015432912
549	0.2015218197
550	0.2014972283
551	0.2014741841
552	0.2014571075
553	0.2014245335
554	0.2013859709
555	0.201366083
556	0.201340338
557	0.2013213588
558	0.2012945204
559	0.2012893067
560	0.201280606
561	0.2012589922
562	0.2012335294
563	0.2012080823
564	0.2011868479
565	0.2011659969
566	0.2011255491
567	0.20112226
568	0.2011141366
569	0.2010833632
570	0.2010411411
571	0.2010016616
572	0.2009831784
573	0.2009541716
574	0.2009227463
575	0.2008988958
576	0.2008798531
577	0.2008599221
578	0.2008404932
579	0.2008231839
580	0.2008073089
581	0.2007867964
582	0.2007509992
583	0.2007231401
584	0.200708266
585	0.2006957223
586	0.20067119
587	0.2006311516
588	0.2006156924
589	0.2005806611
590	0.2005498462
591	0.2005125538
592	0.2004853101
593	0.2004553698
594	0.2004333522
595	0.2004061017
596	0.200393766
597	0.2003456288
598	0.2003311579
599	0.2003017317
600	0.2002765339
601	0.2002649963
602	0.200241354
603	0.2002290319
604	0.2002100373
605	0.2001890354
606	0.2001770008
607	0.200139733
608	0.200119119
609	0.2000896515
610	0.2000640663
611	0.2000467232
612	0.200019101
613	0.1999948809
614	0.1999788093
615	0.1999523238
616	0.1999077203
617	0.1998782908
618	0.1998489316
619	0.1998347279
620	0.1998187782
621	0.1997973371
622	0.199775791
623	0.1997599526
624	0.1997472586
625	0.1997130909
626	0.1996766353
627	0.1996508586
628	0.1996146483
629	0.1995691
630	0.199522382
631	0.1994881801
632	0.1994474944
633	0.1994224597
634	0.1994064008
635	0.1993880729
636	0.1993632893
637	0.1993231808
638	0.199308308
639	0.1992962735
640	0.1992616793
641	0.1992194678
642	0.1991909394
643	0.199149972
644	0.1991373508
645	0.1991207412
646	0.1991159152
647	0.1991039978
648	0.199087466
649	0.1990678526
650	0.1990505367
651	0.1990112598
652	0.1989881576
653	0.1989633229
654	0.1989507146
655	0.1989476906
656	0.1989171665
657	0.1989077947
658	0.1988910929
659	0.1988645275
660	0.198846644
661	0.198820192
662	0.1987973056
663	0.1987658601
664	0.1987175773
665	0.1986891691
666	0.1986662957
667	0.198640409
668	0.1986272539
669	0.1986057911
670	0.1985896996
671	0.1985288819
672	0.1984860071
673	0.1984602726
674	0.1984339393
675	0.1984296466
676	0.1984067631
677	0.1983868337
678	0.1983674994
679	0.1983486264
680	0.1983296094
681	0.1983056159
682	0.1982834991
683	0.1982615479
684	0.1982417233
685	0.1982097056
686	0.1981904264
687	0.1981601231
688	0.1981278535
689	0.1981080408
690	0.1980670873
691	0.1980515934
692	0.1980393732
693	0.198007808
694	0.197989889
695	0.197963646
696	0.1979472271
697	0.1979213172
698	0.1979072917
699	0.1978897547
700	0.1978671375
701	0.1978515742
702	0.1978288285
703	0.1978095077
704	0.1977885942
705	0.1977553898
706	0.1977168937
707	0.1977033945
708	0.1976886115
709	0.1976848605
710	0.1976598683
711	0.1976564457
712	0.1976460735
713	0.1976080728
714	0.1975933889
715	0.1975692921
716	0.1975475325
717	0.1975034325
718	0.1974897797
719	0.1974693114
720	0.1974311708
721	0.1974020313
722	0.1973915417
723	0.1973753483
724	0.1973637881
725	0.1973283831
726	0.1973006765
727	0.1972566022
728	0.1972230257
729	0.1972129582
730	0.1971991327
731	0.1971856141
732	0.1971592575
733	0.197133635
734	0.197126985
735	0.1971196894
736	0.1971014832
737	0.1970862677
738	0.1970680775
739	0.1970559455
740	0.1970280996
741	0.1970135182
742	0.1969733731
743	0.1969578887
744	0.1969543047
745	0.1969290598
746	0.1969022028
747	0.1968988037
748	0.1968753455
749	0.1968687514
750	0.1968516168
751	0.1968176858
752	0.1967895447
753	0.1967673104
754	0.1967374283
755	0.1967141667
756	0.1966965967
757	0.1966841071
758	0.1966624024
759	0.1966346235
760	0.1966063138
761	0.1965832133
762	0.1965362505
763	0.1965244125
764	0.1965117835
765	0.1964928091
766	0.1964805457
767	0.1964675674
768	0.1964400891
769	0.1964144068
770	0.1963756145
771	0.1963463872
772	0.1962976949
773	0.1962819735
774	0.1962686558
775	0.1962532397
776	0.1962252822
777	0.1962019182
778	0.1961840002
779	0.1961523179
780	0.1961284441
781	0.1961140161
782	0.1960966777
783	0.1960868826
784	0.1960552208
785	0.1960451876
786	0.1960139294
787	0.1959890105
788	0.1959593171
789	0.1959406583
790	0.1959098312
791	0.1958805382
792	0.1958804316
793	0.195868497
794	0.1958683963
795	0.1958416091
796	0.1958289324
797	0.195808348
798	0.1957822707
799	0.1957658013
800	0.1957544432
801	0.1957262867
802	0.1957261792
803	0.1957087426
804	0.1956927727
805	0.1956926644
806	0.1956925644
807	0.1956924748
808	0.1956703407
809	0.195657117
810	0.1956391295
811	0.195639033
812	0.1955992035
813	0.1955694262
814	0.1955692732
815	0.1955416839
816	0.1955257829
817	0.1955256997
818	0.1955059425
819	0.1954692673
820	0.1954576339
821	0.1954351355
822	0.1954110658
823	0.1953909825
824	0.1953718655
825	0.1953521206
826	0.1953360202
827	0.1953096365
828	0.195300095
829	0.1952884357
830	0.1952806301
831	0.1952523292
832	0.1952382877
833	0.1952220608
834	0.1951952924
835	0.1951746996
836	0.1951581016
837	0.1951580485
838	0.1951435047
839	0.1951433349
840	0.195130182
841	0.1951188913
842	0.1950955028
843	0.1950800375
844	0.1950684836
845	0.1950583023
846	0.195032645
847	0.1950102575
848	0.1949850978
849	0.1949671784
850	0.1949442391
851	0.1949255669
852	0.1948966023
853	0.1948964449
854	0.1948765695
855	0.1948483478
856	0.1948154182
857	0.1947927696
858	0.1947858553
859	0.1947766878
860	0.1947535282
861	0.1947280336
862	0.194682161
863	0.1946604965
864	0.1946298397
865	0.1946149155
866	0.194593577
867	0.1945742568
868	0.1945599294
869	0.1945290085
870	0.1944953829
871	0.194472596
872	0.1944534395
873	0.1944170749
874	0.1943714079
875	0.1943365049
876	0.1943199255
877	0.1943085265
878	0.1942805844
879	0.1942599772
880	0.1942363867
881	0.1942226735
882	0.1941992538
883	0.1941673171
884	0.1941398194
885	0.194120478
886	0.1941012677
887	0.1940832931
888	0.1940734297
889	0.1940302387
890	0.1939922266
891	0.193959501
892	0.1939460187
893	0.1939205947
894	0.1938959135
895	0.1938745428
896	0.1938694603
897	0.1938541815
898	0.1938195445
899	0.1938024869
900	0.1937750085
901	0.1937684693
902	0.1937577414
903	0.1937419675
904	0.1937151248
905	0.1936940669
906	0.1936842877
907	0.1936433692
908	0.1936325925
909	0.1935946278
910	0.1935849231
911	0.1935672329
912	0.1935523253
913	0.1935337154
914	0.1935198951
915	0.1935039038
916	0.1934824584
917	0.1934602091
918	0.1934429576
919	0.1934275155
920	0.1933995076
921	0.1933755309
922	0.1933541369
923	0.193333016
924	0.1932903948
925	0.1932675843
926	0.1932463382
927	0.1932304899
928	0.1932152176
929	0.1931999056
930	0.1931836852
931	0.1931547797
932	0.1931326326
933	0.1931127521
934	0.193093043
935	0.193080361
936	0.1930617399
937	0.1930333631
938	0.1930150403
939	0.1929722549
940	0.1929524866
941	0.1929408644
942	0.1929175732
943	0.1929052964
944	0.1928752048
945	0.1928517661
946	0.1928479025
947	0.1928171049
948	0.192769645
949	0.1927545408
950	0.1927283208
951	0.1927194765
952	0.1926927703
953	0.1926820672
954	0.1926630716
955	0.1926459436
956	0.1926268552
957	0.1926055189
958	0.1925881339
959	0.1925680842
960	0.1925556534
961	0.1925403648
962	0.1925174579
963	0.1925135311
964	0.19248145
965	0.1924570617
966	0.1924225591
967	0.1924078249
968	0.1923673291
969	0.1923508449
970	0.1923166675
971	0.1923035422
972	0.1922704516
973	0.1922279508
974	0.1922240684
975	0.1922016122
976	0.192188755
977	0.1921680395
978	0.1921522374
979	0.1921398602
980	0.1921187962
981	0.1920908421
982	0.1920716769
983	0.1920575461
984	0.1920357496
985	0.1920107892
986	0.1919906754
987	0.191975546
988	0.1919461109
989	0.1919309547
990	0.1919051971
991	0.191889179
992	0.1918750919
993	0.1918609699
994	0.1918428773
995	0.1918319188
996	0.1918177825
997	0.1918054042
998	0.1918014537
999	0.191774524
